"ID","STATUS","NAME"
2,1,"Abbeville County"
3,1,"Acadia Parish"
4,1,"Accomack County"
5,1,"Ada County"
6,1,"Adair County"
7,0,"Adams County"
8,1,"Addison County"
9,0,"Adjuntas"
10,0,"Aguadilla"
11,0,"Aibonito"
12,0,"Aiken County"
13,1,"Aitkin County"
14,1,"Alachua County"
15,1,"Alamance County"
16,0,"Alameda County"
17,1,"Alamosa County"
18,1,"Albany County"
19,1,"Albemarle County"
20,1,"Alcona County"
21,1,"Alcorn County"
22,0,"Aleutians East Borough"
23,0,"Aleutians West Census Area"
24,1,"Alexander County"
25,0,"Alexandria City"
26,1,"Alfalfa County"
27,1,"Alger County"
28,1,"Allamakee County"
29,1,"Allegan County"
30,1,"Allegany County"
31,1,"Alleghany County"
32,1,"Allegheny County"
33,0,"Allen County"
34,1,"Allen Parish"
35,0,"Allendale County"
36,1,"Alpena County"
37,1,"Alpine County"
38,1,"Amador County"
39,1,"Amelia County"
40,1,"Amherst County"
41,1,"Amite County"
42,1,"Anchorage Borough"
43,1,"Anderson County"
44,0,"Andrew County"
45,1,"Andrews County"
46,1,"Androscoggin County"
47,1,"Angelina County"
48,0,"Anne Arundel County"
49,0,"Anoka County"
50,1,"Anson County"
51,1,"Antelope County"
52,1,"Antrim County"
53,0,"Apache County"
54,1,"Appanoose County"
55,1,"Appling County"
56,1,"Appomattox County"
57,1,"Aransas County"
58,0,"Arapahoe County"
59,1,"Archer County"
60,1,"Archuleta County"
61,0,"Arecibo"
62,0,"Arenac County"
63,1,"Arkansas County"
64,0,"Arlington County"
65,1,"Armstrong County"
66,1,"Aroostook County"
67,0,"Arthur County"
68,1,"Ascension Parish"
69,0,"Ashe County"
70,1,"Ashland County"
71,1,"Ashley County"
72,1,"Ashtabula County"
73,1,"Asotin County"
74,1,"Assumption Parish"
75,1,"Atascosa County"
76,0,"Atchison County"
77,1,"Athens County"
78,1,"Atkinson County"
79,1,"Atlantic County"
80,1,"Atoka County"
81,1,"Attala County"
82,1,"Audrain County"
83,0,"Audubon County"
84,1,"Auglaize County"
85,1,"Augusta County"
86,1,"Aurora County"
87,0,"Austin County"
88,1,"Autauga County"
89,1,"Avery County"
90,1,"Avoyelles Parish"
91,0,"Baca County"
92,1,"Bacon County"
93,1,"Bailey County"
94,0,"Baker County"
95,1,"Baldwin County"
96,1,"Ballard County"
97,0,"Baltimore City"
98,1,"Baltimore County"
99,0,"Bamberg County"
100,1,"Bandera County"
101,1,"Banks County"
102,1,"Banner County"
103,1,"Bannock County"
104,1,"Baraga County"
105,1,"Barber County"
106,0,"Barbour County"
107,0,"Barceloneta"
108,1,"Barnes County"
109,1,"Barnstable County"
110,0,"Barnwell County"
111,1,"Barren County"
112,1,"Barron County"
113,0,"Barrow County"
114,0,"Barry County"
115,0,"Bartholomew County"
116,1,"Barton County"
117,1,"Bartow County"
118,1,"Bastrop County"
119,1,"Bates County"
120,1,"Bath County"
121,1,"Baxter County"
122,0,"Bay County"
123,0,"BayamÃ³n"
124,1,"Bayfield County"
125,1,"Baylor County"
126,0,"Beadle County"
127,1,"Bear Lake County"
128,1,"Beaufort County"
129,1,"Beauregard Parish"
130,0,"Beaver County"
131,1,"Beaverhead County"
132,1,"Becker County"
133,1,"Beckham County"
134,0,"Bedford City"
135,0,"Bedford County"
136,1,"Bee County"
137,1,"Belknap County"
138,1,"Bell County"
139,1,"Belmont County"
140,1,"Beltrami County"
141,1,"Ben Hill County"
142,1,"Benewah County"
143,0,"Bennett County"
144,1,"Bennington County"
145,1,"Benson County"
146,0,"Bent County"
147,1,"Benton County"
148,1,"Benzie County"
149,1,"Bergen County"
150,1,"Berkeley County"
151,0,"Berks County"
152,1,"Berkshire County"
153,1,"Bernalillo County"
154,1,"Berrien County"
155,1,"Bertie County"
156,1,"Bethel Census Area"
157,1,"Bexar County"
158,0,"Bibb County"
159,1,"Bienville Parish"
160,1,"Big Horn County"
161,1,"Big Stone County"
162,1,"Billings County"
163,1,"Bingham County"
164,1,"Black Hawk County"
165,1,"Blackford County"
166,1,"Bladen County"
167,1,"Blaine County"
168,1,"Blair County"
169,1,"Blanco County"
170,0,"Bland County"
171,0,"Bleckley County"
172,1,"Bledsoe County"
173,1,"Blount County"
174,1,"Blue Earth County"
175,1,"Boise County"
176,1,"Bolivar County"
177,1,"Bollinger County"
178,1,"Bon Homme County"
179,0,"Bond County"
180,1,"Bonner County"
181,1,"Bonneville County"
182,1,"Boone County"
183,1,"Borden County"
184,1,"Bosque County"
185,1,"Bossier Parish"
186,1,"Botetourt County"
187,1,"Bottineau County"
188,1,"Boulder County"
189,1,"Boundary County"
190,1,"Bourbon County"
191,1,"Bowie County"
192,1,"Bowman County"
193,1,"Box Butte County"
194,1,"Box Elder County"
195,1,"Boyd County"
196,1,"Boyle County"
197,1,"Bracken County"
198,0,"Bradford County"
199,1,"Bradley County"
200,1,"Branch County"
201,1,"Brantley County"
202,1,"Braxton County"
203,0,"Brazoria County"
204,1,"Brazos County"
205,1,"Breathitt County"
206,1,"Breckinridge County"
207,1,"Bremer County"
208,1,"Brevard County"
209,0,"Brewster County"
210,0,"Briscoe County"
211,0,"Bristol Bay Borough"
212,1,"Bristol City"
213,0,"Bristol County"
214,1,"Broadwater County"
215,1,"Bronx County"
216,0,"Brooke County"
217,1,"Brookings County"
218,1,"Brooks County"
219,1,"Broome County"
220,1,"Broomfield County"
221,1,"Broward County"
222,1,"Brown County"
223,0,"Brule County"
224,1,"Brunswick County"
225,1,"Bryan County"
226,0,"Buchanan County"
227,1,"Buckingham County"
228,0,"Bucks County"
229,1,"Buena Vista City"
230,1,"Buena Vista County"
231,1,"Buffalo County"
232,0,"Bullitt County"
233,1,"Bulloch County"
234,1,"Bullock County"
235,1,"Buncombe County"
236,1,"Bureau County"
237,1,"Burke County"
238,1,"Burleigh County"
239,1,"Burleson County"
240,0,"Burlington County"
241,1,"Burnet County"
242,1,"Burnett County"
243,1,"Burt County"
244,0,"Butler County"
245,0,"Butte County"
246,0,"Butts County"
247,1,"Cabarrus County"
248,1,"Cabell County"
249,1,"Cache County"
250,1,"Caddo County"
251,1,"Caddo Parish"
252,0,"Calaveras County"
253,1,"Calcasieu Parish"
254,1,"Caldwell County"
255,1,"Caldwell Parish"
256,1,"Caledonia County"
257,0,"Calhoun County"
258,1,"Callahan County"
259,1,"Callaway County"
260,1,"Calloway County"
261,1,"Calumet County"
262,0,"Calvert County"
263,1,"Camas County"
264,1,"Cambria County"
265,0,"Camden County"
266,1,"Cameron County"
267,1,"Cameron Parish"
268,1,"Camp County"
269,1,"Campbell County"
270,1,"Canadian County"
271,0,"CanÃ³vanas"
272,1,"Candler County"
273,1,"Cannon County"
274,1,"Canyon County"
275,1,"Cape Girardeau County"
276,1,"Cape May County"
277,0,"Carbon County"
278,1,"Caribou County"
279,1,"Carlisle County"
280,1,"Carlton County"
281,0,"Carolina"
282,0,"Caroline County"
283,1,"Carroll County"
284,1,"Carson City"
285,1,"Carson County"
286,0,"Carter County"
287,1,"Carteret County"
288,0,"Carver County"
289,1,"Cascade County"
